,views,likes,comments,duration_log,bitrate_log,height_log,width_log,frame rate_log,views_log,likes_log,comments_log,likes_log_win,comments_log_win,duration_log_scaled,duration_log_minmax,duration_log_zscore,height_log_scaled,height_log_minmax,height_log_zscore,width_log_scaled,width_log_minmax,width_log_zscore,frame rate_log_scaled,frame rate_log_minmax,frame rate_log_zscore,views_log_scaled,views_log_minmax,views_log_zscore,likes_log_scaled,likes_log_minmax,likes_log_zscore,comments_log_scaled,comments_log_minmax,comments_log_zscore,likes_log_win_scaled,likes_log_win_minmax,likes_log_win_zscore,comments_log_win_scaled,comments_log_win_minmax,comments_log_win_zscore,has_description,has_hashtags,is_h264,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,aspect_ratio,log_aspect_ratio,video_quality_score,file_size_estimate,frame_density,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score
0,4078,41,3,5.198497031265826,8.661812881026181,7.560601162768557,6.985641817639208,3.258096538021482,8.313607139317558,3.737669618283368,1.3862943611198906,3.737669618283368,1.3862943611198906,0.5116675692550011,0.47591234715509734,0.3441149687309625,0.9618386970928408,0.9053491559533858,1.8324181324789257,0.9224383863718397,0.8095645576658779,1.7424533331012393,0.7954964544543811,0.6699232400224203,-0.06626012732599898,0.41918884002759677,0.41918884002759677,1.198467612719074,0.2740717701127894,0.2740717701127894,1.6741280580456968,0.14263367413831,0.14263367413831,0.8767678121652687,0.9289378830726183,0.9289378830726183,2.215592055203982,0.8,0.8,1.7507038129017307,1,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5625,-0.5749593451293489,16.22241404379474,13.860309912292006,8.456593569287309,1,1,0,0,1,0,2
1,33,2,1,6.836259277277067,7.086737934510577,7.155396301896734,6.580639137284949,3.4339872044851463,3.5263605246161616,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.672866050738049,0.6489136235063879,1.6805954830586165,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.8384418981852877,0.7392388740603397,0.5278148808121357,0.17780621011570902,0.17780621011570902,-0.7363241753610611,0.08055784629814867,0.08055784629814867,-0.003933556804560776,0.071316837069155,0.071316837069155,0.2137356093950099,0.27304247779439417,0.27304247779439417,0.08023235340810513,0.4,0.4,0.5969504024040405,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.5625,-0.5747571646117846,14.24213423640731,13.922997211787644,10.270246481762214,1,1,0,0,0,1,2
2,13227,135,17,5.455321115357702,8.015987811027237,7.155396301896734,6.580639137284949,3.2180755046974316,9.490091074101684,4.912654885736052,2.8903717578961645,4.023594781085251,1.732867951399863,0.5369457513993957,0.5030413730279655,0.5536938528667998,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.7857249238255753,0.6541516055435531,-0.20143214171252385,0.47850953291924375,0.47850953291924375,1.6739500014554887,0.36022981108354485,0.36022981108354485,2.421250014511251,0.2973858619184573,0.2973858619184573,2.315497965717822,1.0,1.0,2.446944767221639,1.0,1.0,2.3275805181505755,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5625,-0.5747571646117846,15.17138411292397,13.471308926384939,8.673396620055133,1,1,0,0,1,0,2
3,43,1,0,6.333279628139691,6.068425588244111,5.771441123130016,5.484796933490655,3.4330189939851112,3.784189633918261,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6233597467215227,0.5957825164171766,1.2701436596558866,0.7342267222817858,0.3408069655728426,-1.1705473335896999,0.724255174396581,0.32296937391118097,-1.2075259137851115,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.1908064738330739,0.1908064738330739,-0.6321211368391293,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.0,0.0,-0.44929659337524885,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.75,-0.286644189639361,11.839866711374126,12.401705216383801,9.766298622124802,0,0,0,0,1,0,2
4,222,2,0,5.707110264748875,8.035278911144667,7.155396301896734,6.580639137284949,3.2180755046974316,5.407171771460119,1.0986122886681098,0.0,1.0986122886681098,0.0,0.5617283647699367,0.5296385450669281,0.7591640257810975,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.7857249238255753,0.6541516055435531,-0.20143214171252385,0.27264050666873274,0.27264050666873274,0.023815931928863686,0.08055784629814867,0.08055784629814867,-0.003933556804560776,0.0,0.0,-0.44929659337524885,0.27304247779439417,0.27304247779439417,0.08023235340810513,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.5625,-0.5747571646117846,15.190675213041402,13.742389175893543,8.925185769446307,1,1,0,0,1,0,2
5,168,1,1,4.912654885736052,6.148468295917647,5.771441123130016,5.484796933490655,3.4339872044851463,5.1298987149230735,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.48353325371837375,0.44571806460152164,0.11085616782468612,0.7342267222817858,0.3408069655728426,-1.1705473335896999,0.724255174396581,0.32296937391118097,-1.2075259137851115,0.8384418981852877,0.7392388740603397,0.5278148808121357,0.25865983991446856,0.25865983991446856,-0.08824548374926228,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.071316837069155,0.071316837069155,0.2137356093950099,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.4,0.4,0.5969504024040405,0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.75,-0.286644189639361,11.919909419047663,11.061123181653699,8.346642090221199,0,0,0,0,1,0,1
6,138,0,0,3.784189633918261,6.453624998892692,6.175867270105761,5.8888779583328805,3.4330189939851112,4.9344739331306915,0.0,0.0,0.0,0.0,0.3724628676214625,0.3265152136638902,-0.8100173129405895,0.7856766943016016,0.4684174743046253,-0.4917496150867118,0.7776131704475308,0.4539781694313363,-0.41328618259437844,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.24880612825605125,0.24880612825605125,-0.16722747348802097,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.75,-0.28698931177288056,12.629492268998453,10.237814632810952,7.217208627903372,0,0,0,1,0,0,2
7,373587,1204,54,1.6094379124341005,6.6052979209482015,6.293419278846481,5.8888779583328805,3.4330189939851112,12.830908864906622,7.094234845924755,4.007333185232471,4.023594781085251,1.732867951399863,0.15841062898933297,0.0967902798523779,-2.5847030503502135,0.8006313346130893,0.5055092196084865,-0.29444774443533284,0.7776131704475308,0.4539781694313363,-0.41328618259437844,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.6469603041672628,0.6469603041672628,3.0241597038910064,0.5201983322194802,0.5201983322194802,3.808421695034356,0.4123082887276148,0.4123082887276148,3.3839310724902387,1.0,1.0,2.446944767221639,1.0,1.0,2.3275805181505755,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6666666666666666,-0.4045413205136006,12.898717199794682,8.214735833382303,5.042456906419211,0,0,0,1,0,0,2
8,1876,0,0,5.43372200355424,8.679482094459956,7.560601162768557,6.985641817639208,3.258096538021482,7.537430036586509,0.0,0.0,0.0,0.0,0.5348198359726722,0.5007598001567177,0.5360681003362259,0.9618386970928408,0.9053491559533858,1.8324181324789257,0.9224383863718397,0.8095645576658779,1.7424533331012393,0.7954964544543811,0.6699232400224203,-0.06626012732599898,0.3800524250037185,0.3800524250037185,0.8847714100108005,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5625,-0.5749593451293489,16.240083257228513,14.113204098014197,8.691818541575723,1,1,0,0,1,0,2
9,50,1,0,5.594711379601839,6.20050917404269,6.46302945692067,5.8888779583328805,3.258096538021482,3.9318256327243257,0.6931471805599453,0.0,0.6931471805599453,0.0,0.5506653856041773,0.517765545406411,0.6674419701548775,0.8222086707508449,0.559027127073143,-0.00977030017862007,0.7776131704475308,0.4539781694313363,-0.41328618259437844,0.7954964544543811,0.6699232400224203,-0.06626012732599898,0.19825057866611873,0.19825057866611873,-0.5724532439760832,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.0,0.0,-0.44929659337524885,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.0,0.0,-0.5568030080936498,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5625,-0.5741514985877894,12.663538630963359,11.79522055364453,8.852807917623322,0,0,0,0,1,0,1
10,3,0,0,4.532599493153256,4.890349128221754,5.262690188904886,4.976733742420574,1.9459101490553132,1.3862943611198906,0.0,0.0,0.0,0.0,0.446125899682097,0.40557178075528666,-0.19928446937044397,0.6695048403592803,0.18027835974525716,-2.0244460639776567,0.6571665657361394,0.15824808630257178,-2.206147347347758,0.47511318532026,0.15281205182922802,-4.498201601974199,0.06989975776295196,0.06989975776295196,-1.6012435689776803,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.75,-0.2859564464843114,10.15303931712664,9.42294862137501,6.47850964220857,0,0,0,0,1,0,1
11,93,0,0,5.44673737166631,6.63200177739563,7.155396301896734,6.580639137284949,3.4339872044851463,4.543294782270004,0.0,0.0,0.0,0.0,0.5361008873467153,0.5021346488571649,0.5466891693655967,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.8384418981852877,0.7392388740603397,0.5278148808121357,0.22908208648400616,0.22908208648400616,-0.3253246574578565,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5625,-0.5747571646117846,13.787398079292364,12.07873914906194,8.880724576151456,1,1,0,0,1,0,2
12,447,0,0,3.5263605246161616,6.104793232414985,5.771441123130016,5.484796933490655,3.4330189939851112,6.104793232414985,0.0,0.0,0.0,0.0,0.34708576480763936,0.29928002424710265,-1.0204163384694425,0.7342267222817858,0.3408069655728426,-1.1705473335896999,0.724255174396581,0.32296937391118097,-1.2075259137851115,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.3078159877920846,0.3078159877920846,0.30576344424187457,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.75,-0.286644189639361,11.876234355545002,9.631153757031147,6.959379518601272,0,0,0,1,0,0,2
